,precision,recall,f1-score,support
0,0.39285714285714285,0.7857142857142857,0.5238095238095237,14.0
1,0.9523809523809523,0.7017543859649122,0.8080808080808081,57.0
2,0.7894736842105263,0.9375,0.8571428571428572,16.0
3,1.0,0.6666666666666666,0.8,3.0
4A,1.0,0.25,0.4,4.0
4X,0.4,0.6666666666666666,0.5,3.0
accuracy,0.7319587628865979,0.7319587628865979,0.7319587628865979,0.7319587628865979
macro avg,0.7557852965747703,0.6680503341687553,0.6481721981721982,97.0
weighted avg,0.8311061158049764,0.7319587628865979,0.7485384031775784,97.0
